YYYY-MM-DD HH:MM:SS Time,Machine Running,Vessel A (Bar),Vessel B (Bar),Inlet Dryer (degC),Dryer P Dewpoint (degC),Emergency Stop,Rem. Start/Stop,Running Hours,Module Hours
16/07/2015 10:15,Yes,7.3,7.3,20,-21,closed,open,68617,72866
16/07/2015 10:26,No,7.5,7.5,20,-21,closed,open,68617,72866
16/07/2015 10:36,No,7.5,7.5,20,-20,closed,open,68617,72866
16/07/2015 10:46,No,7.3,7.3,20,-20,closed,open,68617,72866
16/07/2015 10:56,No,7.1,7.1,20,-22,closed,open,68617,72866
16/07/2015 11:17,No,7.5,7.5,20,-22,closed,open,68618,72867
16/07/2015 11:28,No,7.6,7.6,20,-22,closed,open,68618,72867
16/07/2015 11:40,No,7.4,7.4,20,-22,closed,open,68618,72867
16/07/2015 11:46,No,7.1,7.1,20,-22,closed,open,68618,72867
16/07/2015 11:52,No,7.2,7.2,20,-21,closed,open,68618,72867
16/07/2015 12:25,No,7.3,7.3,20,-21,closed,open,68619,72868
16/07/2015 12:30,No,7.2,7.2,20,-21,closed,open,68619,72868
16/07/2015 12:38,No,7.2,7.1,20,-21,closed,open,68619,72868
16/07/2015 12:45,No,7.2,7.1,20,-21,closed,open,68619,72868
16/07/2015 12:51,No,7.4,7.4,20,-20,closed,open,68619,72868
16/07/2015 13:29,Yes,7,7,20,-21,closed,open,68620,72869
16/07/2015 13:36,Yes,7.1,7.1,20,-21,closed,open,68620,72869
16/07/2015 13:43,Yes,7.5,7.5,21,-20,closed,open,68620,72869
16/07/2015 13:49,Yes,7.3,7.3,20,-22,closed,open,68620,72869
16/07/2015 13:56,Yes,7,7,21,-22,closed,open,68620,72869
16/07/2015 14:22,Yes,7,7,20,-21,closed,open,68621,72870
16/07/2015 14:28,Yes,7.1,7.1,21,-21,closed,open,68621,72870
16/07/2015 14:56,No,7.1,7,20,-21,Closed,Open,68621,72870
16/07/2015 14:57,Yes,7.5,7.4,21,-21,Closed,Open,68621,72870
16/07/2015 14:59,No,7.2,7.2,20,-21,Closed,Open,68621,72870
16/07/2015 15:19,Yes,7.1,7.1,21,-20,Closed,Open,68622,72871
16/07/2015 15:29,Yes,7,7,21,-23,Closed,Open,68622,72871
16/07/2015 15:41,Yes,7.3,7.3,21,-22,Closed,Open,68622,72871
16/07/2015 15:46,Yes,7.2,7.2,21,-22,Closed,Open,68622,72871
16/07/2015 16:00,Yes,7.3,7.3,22,-21,Closed,Open,68622,72871
16/07/2015 16:05,Yes,7.2,7.2,21,-21,Closed,Open,68623,72871
16/07/2015 16:32,Yes,7,0.5,21,-21,closed,open,68623,72872
16/07/2015 16:39,Yes,7.2,7.2,22,-22,closed,open,68623,72872
16/07/2015 16:44,Yes,7.5,7.5,22,-22,closed,open,68623,72872
16/07/2015 16:50,Yes,7.2,7.2,22,-21,closed,open,68623,72872
16/07/2015 17:11,Yes,7.3,7.3,21,-21,closed,open,68624,72873
16/07/2015 17:16,Yes,7.3,7.3,21,-21,closed,open,68624,72873
16/07/2015 17:20,Yes,7.4,7.4,21,-20,closed,open,68624,72873
16/07/2015 17:27,No,7.3,7.3,21,-21,closed,open,68624,72873
16/07/2015 17:48,Yes,0.9,7,21,-21,closed,open,68624,72873
16/07/2015 17:53,Yes,7.5,7.5,21,-23,closed,open,68624,72873
16/07/2015 18:00,Yes,7.3,7.2,21,-23,closed,open,68624,72873
16/07/2015 18:10,Yes,7.3,7.3,21,-23,closed,open,68625,72874
16/07/2015 18:15,Yes,7.2,7.2,21,-23,closed,open,68625,72874
16/07/2015 18:20,Yes,7.1,7.1,21,-23,closed,open,68625,72874
16/07/2015 18:47,Yes,7.2,7.2,21,-23,closed,open,68625,72874
16/07/2015 18:53,Yes,7.3,7.3,21,-22,closed,open,68625,72874
16/07/2015 18:58,Yes,7.2,7.2,21,-23,closed,open,68625,72874
16/07/2015 19:04,Yes,7.4,7.4,22,-22,closed,open,68625,72874
16/07/2015 19:11,Yes,7.3,7.3,21,-22,closed,open,68626,72875
17/07/2015 09:31,Yes,7.1,7.1,19,-22,Closed,Open,68640,72899
